model,family,iteration,macro_f1,macro_precision,macro_recall
convnext_base,ConvNeXt,30,88.51761458826523,89.34622281950907,89.31110020708218
convnext_base,ConvNeXt,31,85.88929723921272,86.54921966555578,86.59160533487787
convnext_base,ConvNeXt,32,88.45699369068775,89.02085278431353,88.74678482341896
convnext_base,ConvNeXt,33,85.97955538879407,87.3909514124933,85.91930866429453
convnext_base,ConvNeXt,34,89.35286621668651,90.30355052733567,89.55093417049937
convnext_base,ConvNeXt,35,88.76907946030106,89.61549131609033,88.54520996381332
convnext_base,ConvNeXt,36,87.91977822689303,88.44570859573756,88.41399842809857
convnext_base,ConvNeXt,37,88.08203469258966,89.47079874813141,87.75071439134716
convnext_base,ConvNeXt,38,87.520208981771,87.98950350437764,88.16230070837015
convnext_base,ConvNeXt,39,87.27599603935543,87.72362662516262,87.75625202704225
convnext_base,ConvNeXt,40,86.56084834453706,87.16721047909928,86.80279701827017
convnext_base,ConvNeXt,41,89.19626436915658,89.50888947608179,89.86920514811214
convnext_base,ConvNeXt,42,87.26945414146141,87.63382204876177,87.59210558618578
convnext_base,ConvNeXt,43,85.24422549078348,86.52514139034355,85.82950321441372
convnext_base,ConvNeXt,44,86.78482047332339,87.54836646787696,87.24891622488877
convnext_base,ConvNeXt,45,86.51247922508847,87.5669701142847,86.79694405717424
convnext_base,ConvNeXt,46,87.36890320469037,88.34010556871465,87.50910154007006
convnext_base,ConvNeXt,47,89.95442651056878,90.74310493428142,90.17753674700297
convnext_base,ConvNeXt,48,88.76886258207243,89.64751071111571,89.14488940064388
convnext_base,ConvNeXt,49,86.33540610649443,87.68228108196476,86.26298747974523
convnext_base,ConvNeXt,50,87.43473071464511,88.52068129061345,87.51681672599696
convnext_base,ConvNeXt,51,85.52725562246295,86.11479171581473,86.17526981829333
convnext_base,ConvNeXt,52,86.84823719936156,87.4944789510007,87.0909372854453
convnext_base,ConvNeXt,53,87.78994834346364,88.20903565936983,88.29557058457314
convnext_base,ConvNeXt,54,89.33523925446241,90.16333476230646,89.44927230542928
convnext_base,ConvNeXt,55,90.1206072183485,90.38438122161135,90.6547948758557
convnext_base,ConvNeXt,56,90.7064974561178,91.35061601376043,90.95472082040794
convnext_base,ConvNeXt,57,86.86146415427669,87.75048204416368,87.31274364849017
convnext_base,ConvNeXt,58,88.52604293861076,89.18376976443336,88.69450999885782
convnext_base,ConvNeXt,59,84.81769306326589,86.23542910627312,85.60079219344907
convnext_base,ConvNeXt,60,87.57320728020999,88.40215531920775,87.87283815181245
convnext_base,ConvNeXt,61,83.94450870121987,85.61114521624009,84.32807794626488
convnext_base,ConvNeXt,62,87.51508751150159,88.52761290043424,87.35563721606228
convnext_base,ConvNeXt,63,89.3339039262814,89.32345848919853,89.91696660966767
convnext_base,ConvNeXt,64,87.5935557017816,87.67045779833502,88.59229624349078
convnext_base,ConvNeXt,65,90.32852812839323,91.01003462210569,90.56336389580346
convnext_base,ConvNeXt,66,86.98832578620576,87.43038070774118,87.5191848120588
convnext_base,ConvNeXt,67,88.14938751718762,89.15175497121545,87.87972949661827
convnext_base,ConvNeXt,68,86.8270506792753,87.22661599014991,87.32720027798496
convnext_base,ConvNeXt,69,89.15714319646533,89.78243660309522,89.35831883188585
convnext_base,ConvNeXt,70,89.15640402658535,90.4846236555382,88.84866647590577
convnext_base,ConvNeXt,71,86.56834569434247,88.10529688726767,86.69409817235905
convnext_base,ConvNeXt,72,84.3067638936125,85.12958542845823,84.7702402306056
convnext_base,ConvNeXt,73,86.66223071855991,87.47418991627939,86.92382693291735
convnext_base,ConvNeXt,74,87.34612013769494,88.46923125119032,87.634835774895
convnext_base,ConvNeXt,75,90.36077883834164,91.31863179878302,90.30582699853242
convnext_base,ConvNeXt,76,88.31194897041729,88.66744870531441,88.87350580724521
convnext_base,ConvNeXt,77,87.54238726498878,87.91428946160403,87.9131357882287
convnext_base,ConvNeXt,78,88.23955334397809,89.1681517299958,88.65617658634075
convnext_base,ConvNeXt,79,87.45959980253552,88.08304869752087,88.05796675063367
