variant,base_model,normalization,iteration,macro_f1
dino_vits16_imagenet,dino_vits16,imagenet,46,78.49282567249769
dino_vits16_imagenet,dino_vits16,imagenet,47,78.7955658564579
dino_vits16_imagenet,dino_vits16,imagenet,48,80.1701469367529
dino_vits16_imagenet,dino_vits16,imagenet,49,77.31540298960384
dino_vits16_imagenet,dino_vits16,imagenet,50,78.69286021562971
dino_vits16_imagenet,dino_vits16,imagenet,51,75.75696364804863
dino_vits16_imagenet,dino_vits16,imagenet,52,79.6072663142073
dino_vits16_imagenet,dino_vits16,imagenet,53,79.15661316679665
dino_vits16_imagenet,dino_vits16,imagenet,54,78.75106609906783
dino_vits16_imagenet,dino_vits16,imagenet,55,79.3489026092836
dino_vits16_imagenet,dino_vits16,imagenet,56,80.68544170156906
dino_vits16_imagenet,dino_vits16,imagenet,57,76.40328335816147
dino_vits16_imagenet,dino_vits16,imagenet,58,83.26502887254253
dino_vits16_imagenet,dino_vits16,imagenet,59,76.3786550543627
dino_vits16_imagenet,dino_vits16,imagenet,60,76.60343039330117
dino_vits16_imagenet,dino_vits16,imagenet,61,75.84071011618047
dino_vits16_imagenet,dino_vits16,imagenet,62,75.592242659655
dino_vits16_imagenet,dino_vits16,imagenet,63,79.02192139322662
dino_vits16_imagenet,dino_vits16,imagenet,64,74.60544620197555
dino_vits16_imagenet,dino_vits16,imagenet,65,78.7776577301076
dino_vits16_imagenet,dino_vits16,imagenet,66,77.21556862496553
dino_vits16_imagenet,dino_vits16,imagenet,67,78.60153583079692
dino_vits16_imagenet,dino_vits16,imagenet,68,77.65055706867032
dino_vits16_imagenet,dino_vits16,imagenet,69,78.53781043698513
dino_vits16_imagenet,dino_vits16,imagenet,70,76.54804432890073
dino_vits16_imagenet,dino_vits16,imagenet,71,75.51313774401933
dino_vits16_imagenet,dino_vits16,imagenet,72,77.76031659292244
dino_vits16_imagenet,dino_vits16,imagenet,73,74.36021691841441
dino_vits16_imagenet,dino_vits16,imagenet,74,78.81980106952425
dino_vits16_imagenet,dino_vits16,imagenet,75,79.18234412931776
dino_vits16_imagenet,dino_vits16,imagenet,76,79.7095473044459
dino_vits16_imagenet,dino_vits16,imagenet,77,80.00891214932938
dino_vits16_imagenet,dino_vits16,imagenet,78,81.34372594603485
dino_vits16_imagenet,dino_vits16,imagenet,79,76.94187940578567
