model,family,variant,iteration,macro_f1
convnext_small,ConvNeXt,finetuned,93,86.30528505916372
convnext_small,ConvNeXt,finetuned,94,86.66272390517547
convnext_small,ConvNeXt,finetuned,95,86.10702743656469
convnext_small,ConvNeXt,finetuned,96,86.83295475091796
convnext_small,ConvNeXt,finetuned,97,87.55279149669339
convnext_small,ConvNeXt,finetuned,98,85.96802081044297
convnext_small,ConvNeXt,finetuned,99,86.07024433288738
convnext_small,ConvNeXt,finetuned,100,86.3412316670759
convnext_base,ConvNeXt,frozen,1,70.60309994077897
convnext_base,ConvNeXt,frozen,2,71.29681358092492
convnext_base,ConvNeXt,frozen,3,74.2328555453733
convnext_base,ConvNeXt,frozen,4,76.48665319174647
convnext_base,ConvNeXt,frozen,5,74.35884237083444
convnext_base,ConvNeXt,frozen,6,72.42801606807554
convnext_base,ConvNeXt,frozen,7,74.66192407101943
convnext_base,ConvNeXt,frozen,8,72.76083232066325
convnext_base,ConvNeXt,frozen,9,74.09932768158811
convnext_base,ConvNeXt,frozen,10,71.56301580461711
convnext_base,ConvNeXt,frozen,11,75.87720801327899
convnext_base,ConvNeXt,frozen,12,70.25216641728673
convnext_base,ConvNeXt,frozen,13,73.86401494553148
convnext_base,ConvNeXt,frozen,14,73.45895738845718
convnext_base,ConvNeXt,frozen,15,73.63739029446567
convnext_base,ConvNeXt,frozen,16,74.16106188869112
convnext_base,ConvNeXt,frozen,17,72.05773592030498
convnext_base,ConvNeXt,frozen,18,71.45352199100329
convnext_base,ConvNeXt,frozen,19,73.51449995628761
convnext_base,ConvNeXt,frozen,20,73.20489365732743
convnext_base,ConvNeXt,frozen,21,74.26153422191007
convnext_base,ConvNeXt,frozen,22,72.84472051427569
convnext_base,ConvNeXt,frozen,23,75.64494149772152
convnext_base,ConvNeXt,frozen,24,72.6905723617663
convnext_base,ConvNeXt,frozen,25,74.23895347688703
convnext_base,ConvNeXt,frozen,26,73.67446777400438
convnext_base,ConvNeXt,frozen,27,71.49697063403484
convnext_base,ConvNeXt,frozen,28,73.77202015714485
convnext_base,ConvNeXt,frozen,29,73.91924033066573
convnext_base,ConvNeXt,frozen,30,73.41573837217108
convnext_base,ConvNeXt,frozen,31,74.82162317357378
convnext_base,ConvNeXt,frozen,32,72.71179782597198
convnext_base,ConvNeXt,frozen,33,75.66677750048545
convnext_base,ConvNeXt,frozen,34,74.22425875077568
convnext_base,ConvNeXt,frozen,35,76.16043327056042
convnext_base,ConvNeXt,frozen,36,72.43431532228685
convnext_base,ConvNeXt,frozen,37,72.65358084076318
convnext_base,ConvNeXt,frozen,38,74.92972933222168
convnext_base,ConvNeXt,frozen,39,72.85430926453922
convnext_base,ConvNeXt,frozen,40,72.77106894321403
convnext_base,ConvNeXt,frozen,41,74.4368324586945
convnext_base,ConvNeXt,frozen,42,72.18463095117549
convnext_base,ConvNeXt,frozen,43,73.87478016841848
convnext_base,ConvNeXt,frozen,44,73.2188032501014
convnext_base,ConvNeXt,frozen,45,74.25589107530197
convnext_base,ConvNeXt,frozen,46,72.91882280556561
convnext_base,ConvNeXt,frozen,47,69.5499337295362
convnext_base,ConvNeXt,frozen,48,74.25198999196837
convnext_base,ConvNeXt,frozen,49,71.11950813391661
convnext_base,ConvNeXt,frozen,50,72.50411213901246
convnext_base,ConvNeXt,frozen,51,74.01855247954163
convnext_base,ConvNeXt,frozen,52,73.9992028322312
convnext_base,ConvNeXt,frozen,53,71.51901862219621
convnext_base,ConvNeXt,frozen,54,75.21145390913775
convnext_base,ConvNeXt,frozen,55,76.88030540154833
convnext_base,ConvNeXt,frozen,56,74.97521287432629
convnext_base,ConvNeXt,frozen,57,76.3194713924784
convnext_base,ConvNeXt,frozen,58,75.47919638290983
convnext_base,ConvNeXt,frozen,59,74.04631166177501
convnext_base,ConvNeXt,frozen,60,71.19616305805256
convnext_base,ConvNeXt,frozen,61,69.89498885252075
convnext_base,ConvNeXt,frozen,62,72.28840146642119
convnext_base,ConvNeXt,frozen,63,74.39058035290233
convnext_base,ConvNeXt,frozen,64,72.7980216771438
convnext_base,ConvNeXt,frozen,65,73.10942663166367
convnext_base,ConvNeXt,frozen,66,70.40577448572849
convnext_base,ConvNeXt,frozen,67,72.27484787902962
convnext_base,ConvNeXt,frozen,68,73.0572728020099
convnext_base,ConvNeXt,frozen,69,71.59512010686635
convnext_base,ConvNeXt,frozen,70,72.40799221811048
convnext_base,ConvNeXt,frozen,71,70.97020900981379
convnext_base,ConvNeXt,frozen,72,72.19310484808807
convnext_base,ConvNeXt,frozen,73,72.34373281303877
convnext_base,ConvNeXt,frozen,74,72.70585568061968
convnext_base,ConvNeXt,frozen,75,76.09600301076453
convnext_base,ConvNeXt,frozen,76,73.97443666085587
