model,family,iteration,macro_f1,macro_precision,macro_recall
convnext_tiny,ConvNeXt,28,86.66478057229632,87.31492890531791,86.92995764022751
convnext_tiny,ConvNeXt,29,84.85739302828294,85.63098122544211,85.21820080155658
convnext_tiny,ConvNeXt,30,87.64242371566633,88.88776736417738,87.81983853729713
convnext_tiny,ConvNeXt,31,85.59712398474095,86.33702924074353,86.09366626738472
convnext_tiny,ConvNeXt,32,86.25229573062853,86.84781677534082,86.37584092302527
convnext_tiny,ConvNeXt,33,85.82570561293788,86.4632629719498,86.02835484313475
convnext_tiny,ConvNeXt,34,89.7640044589963,90.59375645517792,90.24077371903459
convnext_tiny,ConvNeXt,35,87.22999105495035,87.5547665642564,87.486503528842
convnext_tiny,ConvNeXt,36,87.32566420468642,87.734772376397,87.71953602775382
convnext_tiny,ConvNeXt,37,88.56943900467225,89.21041805922299,88.63538972110258
convnext_tiny,ConvNeXt,38,87.22903881308602,88.09752766863414,87.1756641565162
convnext_tiny,ConvNeXt,39,87.12177805874796,87.93240766352895,87.49008677114084
convnext_tiny,ConvNeXt,40,87.31356199665072,87.83160202751992,87.30989918010378
convnext_tiny,ConvNeXt,41,87.08123180350874,87.5136670358274,87.96730771932684
convnext_tiny,ConvNeXt,42,85.00248298218224,85.44769172020924,85.92216987734847
convnext_tiny,ConvNeXt,43,86.93296944975368,87.81106289950012,87.196661915332
convnext_tiny,ConvNeXt,44,86.35990037207736,86.76467298109422,86.86854494348772
convnext_tiny,ConvNeXt,45,88.01338719345024,88.34150904630937,88.44374082865131
convnext_tiny,ConvNeXt,46,87.64639066121347,88.64167024552003,87.72161804428566
convnext_tiny,ConvNeXt,47,89.55886179424314,90.19956586897541,89.76485375353043
convnext_tiny,ConvNeXt,48,85.4094029822434,86.0632611841447,85.91063170986445
convnext_tiny,ConvNeXt,49,87.69934593922171,88.64206268298338,87.85370039967034
convnext_tiny,ConvNeXt,50,85.23150201697442,86.15643479438127,85.29494243436227
convnext_tiny,ConvNeXt,51,85.72643144205952,85.69118754221054,86.7835988999745
convnext_tiny,ConvNeXt,52,87.99073498461563,88.5045522191887,88.11470020765115
convnext_tiny,ConvNeXt,53,87.80470941710624,88.0712193444772,88.27764662163642
convnext_tiny,ConvNeXt,54,88.79601282238947,89.39239209800986,88.70292777589121
convnext_tiny,ConvNeXt,55,89.3614011616556,89.89073394592747,89.76985855613677
convnext_tiny,ConvNeXt,56,89.31093160487758,89.5133099353048,89.64711210748291
convnext_tiny,ConvNeXt,57,87.74343404006906,88.42099346339488,88.14146178307338
convnext_tiny,ConvNeXt,58,89.31452189848397,90.03302036952314,89.52778702778703
convnext_tiny,ConvNeXt,59,86.64693352306956,87.26827248078865,87.09589745328799
convnext_tiny,ConvNeXt,60,85.76356542768686,87.2965072431397,85.85252146212574
convnext_tiny,ConvNeXt,61,84.30417982798718,85.13734762850302,84.71541136933662
convnext_tiny,ConvNeXt,62,86.99538233302542,87.77045572798994,87.16715238929885
convnext_tiny,ConvNeXt,63,88.91870561494359,88.89141455116744,89.65771161592471
convnext_tiny,ConvNeXt,64,83.73594278521068,83.8800137210421,84.69936541952545
convnext_tiny,ConvNeXt,65,88.93907746554584,89.87605105891552,89.12861770639594
convnext_tiny,ConvNeXt,66,84.83257489620284,85.44748909202403,85.08827844310704
