variant,base_model,iteration,macro_f1
published,convnext_large,77,88.03932157999452
published,convnext_large,78,90.64246272073684
published,convnext_large,79,87.31245016455307
published,convnext_large,80,88.91083887886492
published,convnext_large,81,88.6322746285795
published,convnext_large,82,87.96304343375006
published,convnext_large,83,88.41075678885997
published,convnext_large,84,88.88321294859777
published,convnext_large,85,87.80629525672616
published,convnext_large,86,88.86584430111806
published,convnext_large,87,87.19529708789881
published,convnext_large,88,87.52380113499537
published,convnext_large,89,87.72450975910715
published,convnext_large,90,87.65122299694686
published,convnext_large,91,86.19164779231589
published,convnext_large,92,86.04969470560908
published,convnext_large,93,88.81140994959374
published,convnext_large,94,87.72938823622523
published,convnext_large,95,87.41272855929802
published,convnext_large,96,88.12387877124196
published,convnext_large,97,88.88643264785028
published,convnext_large,98,87.7274130666872
published,convnext_large,99,89.69181095918472
published,convnext_large,100,89.02693985817953
published,resnet18,1,84.57345025663045
published,resnet18,2,83.34728321793116
published,resnet18,3,85.24608054455626
published,resnet18,4,86.06111864782157
published,resnet18,5,83.72543714139393
published,resnet18,6,83.63204982479164
published,resnet18,7,84.44525727731873
published,resnet18,8,84.5718801576425
published,resnet18,9,85.79490877960163
published,resnet18,10,84.59489581617078
published,resnet18,11,84.79586427030597
published,resnet18,12,84.52800469324923
published,resnet18,13,85.31672209148195
published,resnet18,14,84.09974192711877
published,resnet18,15,85.9416440251416
published,resnet18,16,86.01965847100341
published,resnet18,17,84.97842498244763
published,resnet18,18,86.09901736540878
published,resnet18,19,87.00712417799745
published,resnet18,20,83.75629234126471
published,resnet18,21,85.90246917732465
published,resnet18,22,81.91144324354185
published,resnet18,23,86.4243409643303
published,resnet18,24,85.75975539150984
published,resnet18,25,85.04204059199947
published,resnet18,26,84.39530825834946
published,resnet18,27,84.82531706331734
published,resnet18,28,82.67357893688057
published,resnet18,29,84.61076005603243
published,resnet18,30,86.10385171477866
published,resnet18,31,87.12030308980609
published,resnet18,32,84.88080565356051
published,resnet18,33,84.06389913020102
published,resnet18,34,84.76262355658723
published,resnet18,35,88.53920477040576
published,resnet18,36,85.6538073730333
published,resnet18,37,83.42142938089756
published,resnet18,38,84.17820681110486
published,resnet18,39,84.60349741161295
published,resnet18,40,85.86561716755656
published,resnet18,41,84.09248065664762
published,resnet18,42,83.13076818718173
published,resnet18,43,85.67844677140923
published,resnet18,44,84.36573474092994
published,resnet18,45,86.95113820955437
published,resnet18,46,85.11760232254666
published,resnet18,47,85.63215718125439
published,resnet18,48,86.46291308281202
published,resnet18,49,85.68347637882279
published,resnet18,50,86.23789806108104
published,resnet18,51,83.78451580291643
published,resnet18,52,86.29361102445488
published,resnet18,53,85.01704472085699
published,resnet18,54,86.75782803313903
published,resnet18,55,86.06681254174356
published,resnet18,56,88.0310445358242
published,resnet18,57,86.1546207888919
published,resnet18,58,86.23472468483979
published,resnet18,59,84.85524388688079
published,resnet18,60,82.9411812356115
published,resnet18,61,83.82615236822033
published,resnet18,62,85.56450320335517
published,resnet18,63,85.94081800407693
published,resnet18,64,83.56316545029277
published,resnet18,65,86.46185414658653
published,resnet18,66,85.90542544754565
published,resnet18,67,84.51798818571578
published,resnet18,68,84.18297555128026
published,resnet18,69,84.31192574143375
published,resnet18,70,84.79482959832806
published,resnet18,71,84.01450207478459
published,resnet18,72,83.52651560921257
published,resnet18,73,84.91540544271157
published,resnet18,74,84.46140480212307
published,resnet18,75,86.97276623944418
published,resnet18,76,84.84649887731702
published,resnet18,77,84.14039460516005
published,resnet18,78,86.84473546008967
published,resnet18,79,85.63786991319775
published,resnet18,80,86.92256428216996
published,resnet18,81,83.8474499268039
published,resnet18,82,85.33227131476109
published,resnet18,83,84.20095485704738
published,resnet18,84,86.19966931703989
published,resnet18,85,84.3015139622485
published,resnet18,86,84.25753502272208
published,resnet18,87,84.78608399960997
published,resnet18,88,82.70947072769329
published,resnet18,89,85.60157966721836
published,resnet18,90,84.10934245250219
published,resnet18,91,82.21312459751549
published,resnet18,92,83.2106008282281
published,resnet18,93,85.64987537194544
published,resnet18,94,85.62609937014794
published,resnet18,95,87.01297552011529
published,resnet18,96,86.13092066772289
published,resnet18,97,85.80965815886576
published,resnet18,98,83.6046100305874
published,resnet18,99,85.92094698300416
published,resnet18,100,87.27750693657669
published,resnet34,1,85.35959598938328
published,resnet34,2,84.30562684251824
published,resnet34,3,86.88301220824447
published,resnet34,4,85.65228594915958
published,resnet34,5,84.37727281731232
published,resnet34,6,84.47805068011014
published,resnet34,7,83.87321169462004
published,resnet34,8,83.84944462101348
published,resnet34,9,84.35304717773406
published,resnet34,10,86.15889016242576
published,resnet34,11,85.82048045684817
published,resnet34,12,84.28452449449134
published,resnet34,13,84.46114232549644
published,resnet34,14,82.92541136675679
published,resnet34,15,86.60138178393007
published,resnet34,16,86.61644713983176
published,resnet34,17,84.53403599382357
published,resnet34,18,85.76704064506227
published,resnet34,19,85.16688900469241
published,resnet34,20,83.82644376193309
published,resnet34,21,84.85035471828488
published,resnet34,22,83.93844175916144
published,resnet34,23,84.37665337551725
published,resnet34,24,84.83888143471296
published,resnet34,25,84.13970563094773
published,resnet34,26,83.63125626281122
published,resnet34,27,83.67167044985251
published,resnet34,28,83.533643809307
published,resnet34,29,83.78071766497999
published,resnet34,30,86.03988350557682
published,resnet34,31,84.98018063107921
published,resnet34,32,83.8434086717478
published,resnet34,33,84.92387864416835
published,resnet34,34,85.91270534021072
published,resnet34,35,85.29773427804493
published,resnet34,36,85.2957601326755
published,resnet34,37,85.41759344219382
published,resnet34,38,85.69757245104455
published,resnet34,39,83.34910942405092
published,resnet34,40,85.0421260797679
published,resnet34,41,84.78382201131181
published,resnet34,42,84.63769446115795
published,resnet34,43,84.25615931071985
published,resnet34,44,83.85795486104539
published,resnet34,45,84.53576753275932
published,resnet34,46,86.05503190146344
published,resnet34,47,86.54039722349806
published,resnet34,48,84.48120728352445
published,resnet34,49,85.11249632245132
published,resnet34,50,85.51645254044956
published,resnet34,51,83.90029873298231
published,resnet34,52,87.07071800232336
published,resnet34,53,83.22602581504056
published,resnet34,54,85.7414993225224
published,resnet34,55,85.50748630981786
published,resnet34,56,87.34185068820443
published,resnet34,57,84.24968975723463
published,resnet34,58,85.14180899673762
published,resnet34,59,84.69818631735124
published,resnet34,60,83.73923867726462
published,resnet34,61,81.97571140672746
published,resnet34,62,83.66643061980577
published,resnet34,63,85.94464708130634
published,resnet34,64,84.15957489081141
published,resnet34,65,87.9889008033178
published,resnet34,66,84.55898878818275
published,resnet34,67,84.57994441634922
published,resnet34,68,84.63810013837674
published,resnet34,69,84.76106697696196
published,resnet34,70,84.54841391809124
published,resnet34,71,83.08572001647123
published,resnet34,72,84.11440559066527
published,resnet34,73,83.91218045266271
published,resnet34,74,83.78994238338848
published,resnet34,75,87.22441283176651
published,resnet34,76,86.69725922578526
published,resnet34,77,85.76103113904085
published,resnet34,78,88.28341350085562
published,resnet34,79,85.17933690754668
published,resnet34,80,84.80873550871635
published,resnet34,81,86.101218971146
published,resnet34,82,86.35916003264587
published,resnet34,83,86.27481056219268
published,resnet34,84,83.87867795552671
published,resnet34,85,82.96517306082272
published,resnet34,86,84.07809707486024
published,resnet34,87,83.61828261675527
published,resnet34,88,82.56229124532695
published,resnet34,89,86.30549659807535
published,resnet34,90,85.07881696052048
published,resnet34,91,82.9739863863639
published,resnet34,92,82.28643996259707
published,resnet34,93,85.55486245334978
published,resnet34,94,84.7332994151532
published,resnet34,95,84.9628073005405
published,resnet34,96,86.64875973695374
published,resnet34,97,87.06545710053533
published,resnet34,98,83.80700459512968
published,resnet34,99,85.57909232034167
published,resnet34,100,81.98492520460678
published,resnet50,1,86.86685200908649
published,resnet50,2,85.11798716454987
published,resnet50,3,86.03861062969169
published,resnet50,4,85.5294718383151
published,resnet50,5,83.31796056773861
published,resnet50,6,85.86233510071106
published,resnet50,7,85.19443730184008
published,resnet50,8,82.79957276484791
published,resnet50,9,85.65848733820856
published,resnet50,10,83.50176624832537
published,resnet50,11,83.79965018160324
published,resnet50,12,85.15627506190744
published,resnet50,13,85.43060424997427
published,resnet50,14,82.77917296611894
published,resnet50,15,86.03584678510619
published,resnet50,16,84.54163177660776
published,resnet50,17,84.04816593074294
published,resnet50,18,83.73016120283725
published,resnet50,19,85.27003200326295
published,resnet50,20,83.29532860771465
published,resnet50,21,85.72257335095195
published,resnet50,22,85.35494469063221
published,resnet50,23,85.67269174111067
published,resnet50,24,84.97989694316222
published,resnet50,25,83.9394835361846
published,resnet50,26,83.39268818320194
published,resnet50,27,84.92537712963548
published,resnet50,28,84.42323691399582
published,resnet50,29,83.37972895603507
published,resnet50,30,84.14537891313827
published,resnet50,31,82.70257618845326
published,resnet50,32,86.14981970035893
published,resnet50,33,84.5100638206803
published,resnet50,34,84.49501313723628
published,resnet50,35,87.12930275387502
published,resnet50,36,85.52930904735463
published,resnet50,37,86.59614213244697
published,resnet50,38,85.40844449927589
published,resnet50,39,83.69452043939701
published,resnet50,40,83.47260275357198
published,resnet50,41,85.93329362353778
published,resnet50,42,84.0729128950869
published,resnet50,43,84.53644940461113
published,resnet50,44,86.27763396526701
published,resnet50,45,85.63665748025359
published,resnet50,46,82.79014650585962
published,resnet50,47,86.54540789694856
published,resnet50,48,83.26712709604116
published,resnet50,49,85.56371687366749
published,resnet50,50,84.20106296819824
published,resnet50,51,81.97331817239065
published,resnet50,52,86.91504461230026
published,resnet50,53,84.31344245126995
published,resnet50,54,86.72152865584061
published,resnet50,55,86.37799964683751
published,resnet50,56,87.4825118429709
published,resnet50,57,84.37763513697499
published,resnet50,58,86.90435578107018
published,resnet50,59,84.21103153444707
published,resnet50,60,82.82877878802375
published,resnet50,61,83.68180598627033
published,resnet50,62,82.3549389283025
published,resnet50,63,84.94075249035242
published,resnet50,64,83.96344850630545
published,resnet50,65,85.60753089087132
published,resnet50,66,82.52634728636235
published,resnet50,67,83.50312951281036
published,resnet50,68,82.73571276718808
published,resnet50,69,81.88180353697562
published,resnet50,70,85.45981705771237
published,resnet50,71,81.5746942640352
published,resnet50,72,83.5053376402931
published,resnet50,73,82.3619092317429
published,resnet50,74,83.68100377025243
published,resnet50,75,87.90009219320159
published,resnet50,76,83.95055467022627
published,resnet50,77,84.5095117764078
published,resnet50,78,86.67723633852043
published,resnet50,79,83.02812080427229
published,resnet50,80,86.49302673316409
published,resnet50,81,82.88561052423971
published,resnet50,82,82.91938969291472
published,resnet50,83,85.81568205049344
published,resnet50,84,83.02747882965002
published,resnet50,85,83.53526963986347
published,resnet50,86,86.0335008650407
published,resnet50,87,82.0132642724246
published,resnet50,88,84.49251076690376
published,resnet50,89,84.4643051391466
published,resnet50,90,83.15525911352493
published,resnet50,91,83.40105510522856
published,resnet50,92,82.57048668841598
published,resnet50,93,87.0022790905435
published,resnet50,94,85.25740134659678
published,resnet50,95,84.5711488619288
published,resnet50,96,83.96809243019425
published,resnet50,97,83.95332305100817
published,resnet50,98,82.59060382833837
published,resnet50,99,86.01904861225526
published,resnet50,100,84.71453166457984
published,resnet101,1,84.75692809063861
published,resnet101,2,81.74786582589388
published,resnet101,3,85.27185010981748
published,resnet101,4,84.09543698923443
published,resnet101,5,84.44976076729635
published,resnet101,6,84.50717065383475
published,resnet101,7,84.29497987820504
published,resnet101,8,81.21602703881754
published,resnet101,9,84.84890700738016
published,resnet101,10,82.7635549549499
published,resnet101,11,82.35565936803873
published,resnet101,12,83.74753855205014
